shop_id,shop_name,good_summary,last_updated
8717558,鼎王无老锅(衡山路店),"点心不错(794),口味不错(1345),肉类不错(590),服务热情(1244),食材不错(478),环境不错(1069),锅底不错(450),食材新鲜(246)",2016-01-05 22:39:02
8440409,锅德港式海鲜肥牛火锅(淮海中路店),"食材新鲜(71),食材不错(101),服务热情(125),肉类不错(78),环境不错(114),海鲜不错(65),口味不错(100),牛肉不错(64)",2016-01-05 22:39:06
8079189,帅锅 Handsome Hotpot,"肉类不错(134),牛肉不错(111),海鲜不错(107),食材新鲜(55),口味不错(188),食材不错(83),环境不错(99),服务热情(78)",2016-01-05 22:39:40
8067558,小辉哥火锅(恒隆港汇店),"食材不错(639),食材新鲜(424),肉类不错(584),口味不错(1208),服务热情(662),环境不错(540),牛肉不错(331),海鲜不错(307)",2016-01-05 22:39:44
8039800,蜀公馆成都老火锅(百联中环店),"口味不错(1254),肉类不错(287),服务热情(903),食材新鲜(145),环境不错(565),食材不错(267),性价比较高(236),牛肉不错(128)",2016-01-05 22:39:46
8029602,小辉哥火锅(日月光广场店),"食材新鲜(523),食材不错(799),口味不错(1605),肉类不错(752),服务热情(931),环境不错(810),牛肉不错(442),海鲜不错(370)",2016-01-05 22:39:50
6850571,捞王锅物料理(肇嘉浜路店),"肉类不错(659),猪肉不错(449),服务热情(1289),汤羹煲不错(378),口味不错(857),禽肉不错(338),海鲜不错(207),牛肉不错(201)",2016-01-05 22:39:54
6645103,老工厂重庆火锅,"口味不错(646),肉类不错(199),服务热情(469),环境不错(253),牛肉不错(128),性价比较高(150),食材不错(113),锅底不错(81)",2016-01-05 22:39:58
6609265,香港荣哥火锅,"食材新鲜(336),食材不错(478),服务热情(651),海鲜不错(320),口味不错(374),肉类不错(183),牛肉不错(129),环境不错(276)",2016-01-05 22:40:01
6586622,辣府(云南南路店),"肉类不错(1512),牛肉不错(957),口味不错(2756),食材不错(727),服务热情(1501),海鲜不错(633),食材新鲜(467),环境不错(754)",2016-01-05 22:40:04
6444591,捞王锅物料理(四川北路店),"肉类不错(654),猪肉不错(460),服务热情(1053),汤羹煲不错(360),口味不错(841),禽肉不错(344),海鲜不错(221),煲仔饭不错(185)",2016-01-05 22:40:08
6328747,凯达石斑鱼打边炉(潮汕海鲜火锅),"海鲜不错(519),肉类不错(369),服务热情(1134),禽肉不错(268),口味不错(716),汤羹煲不错(219),禽肉嫩(130),食材不错(150)",2016-01-05 22:40:12
6128982,大唐人家(大华店),"肉类不错(550),羊肉不错(519),口味不错(508),服务热情(197),环境不错(160),羊肉新鲜(47),羊肉嫩(33),性价比较高(108)",2016-01-05 22:40:17
6127165,季悦火锅(香港广场店),"食材新鲜(235),食材不错(331),服务热情(627),肉类不错(330),口味不错(428),海鲜不错(280),环境不错(421),牛肉不错(203)",2016-01-05 22:40:29
6110204,海底捞火锅店(徐家汇店),"肉类不错(204),服务热情(1401),食材不错(196),口味不错(645),环境不错(284),食材新鲜(107),海鲜不错(129),牛肉不错(117)",2016-01-05 22:40:31
6075188,鼎王无老锅(黄金城道店),"点心不错(285),服务热情(643),肉类不错(264),口味不错(593),食材不错(203),环境不错(473),锅底不错(184),食材新鲜(111)",2016-01-05 22:40:44
6061978,辉哥海鲜火锅(圆明园路店),"食材不错(69),食材新鲜(41),环境不错(82),肉类不错(50),服务热情(67),牛肉不错(39),口味不错(60),海鲜不错(37)",2016-01-05 22:40:50
5863562,七欣天品蟹轩(五角场店),"海鲜不错(250),口味不错(440),服务热情(156),环境不错(154),性价比较高(68),肉类不错(41),点心不错(17),汤羹煲不错(15)",2016-01-05 22:41:28
5859419,四川香天下火锅(徐家汇店),"肉类不错(738),口味不错(1695),食材新鲜(303),服务热情(1153),食材不错(447),禽肉不错(386),环境不错(470),牛肉不错(219)",2016-01-05 22:41:32
583855,万先港式打边炉(万先港式打边炉),"口味不错(137),环境不错(48),肉类不错(41),服务热情(44),海鲜不错(25),汤羹煲不错(21),炸类不错(20),锅底不错(18)",2016-01-05 22:41:33
5750860,小辉哥火锅(五角场万达店),"肉类不错(778),食材新鲜(537),食材不错(757),口味不错(1450),服务热情(792),牛肉不错(448),海鲜不错(352),环境不错(559)",2016-01-05 22:41:37
5733341,打望重庆火锅,"海鲜不错(356),肉类不错(309),口味不错(558),牛肉不错(165),环境不错(244),服务热情(201),食材不错(136),锅底不错(109)",2016-01-05 22:41:42
5721724,小贝壳海鲜自助火锅(打浦路店),"海鲜不错(1565),食材不错(1363),口味不错(1567),性价比较高(1190),食材新鲜(661),服务热情(1164),环境不错(963),点心不错(386)",2016-01-05 22:41:45
5530450,煲宫(人民广场店),"肉类不错(889),猪肉不错(708),口味不错(1710),汤羹煲不错(663),服务热情(1401),禽肉不错(548),环境不错(543),煲仔饭不错(272)",2016-01-05 22:41:47
5529178,渝利火锅(九六店),"肉类不错(338),口味不错(1006),服务热情(638),食材不错(275),环境不错(358),食材新鲜(138),性价比较高(158),禽肉不错(147)",2016-01-05 22:41:57
5528732,捞王锅物料理(静安店),"肉类不错(491),猪肉不错(347),服务热情(1060),汤羹煲不错(298),口味不错(658),禽肉不错(257),食材不错(141),牛肉不错(136)",2016-01-05 22:41:59
